"Pos.","N°","Nombre","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Puntos","Total T°","Comentario","Vueltas","LIGA","MOTO"
"1","199","Nicolas Felipe REY REY","Junior novatos","4:59.638","19","","","15","1:47:04.341","","19","Cundinamarca","KTM"
"2","26","Juan Jacobo RENGIFO GOMEZ","Junior novatos","5:44.435","15","1 Vuelta","1 Vuelta","13","1:50:49.425","","18","Valle del Cauca","Husqvarna"
"3","183","Miguel matius sanchez zapata","Junior novatos","6:09.960","1","4 Vueltas","3 Vueltas","11","1:49:35.609","","15","Antioquia","KTM"
"NT","417","Elimilet PULECIO BARRERA","Junior novatos","6:07.010","2","NT","","0","33:30.761","","5","Tolima","Husqvarna"
