"Pos.","N°","Nombre","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Puntos","Total T°","Comentario","Vueltas","LIGA","MOTO"
"1","826","Andres Felipe RODRIGUEZ CASTILLO","Infantil enduro 2","8:43.592","3","","","15","38:09.615","","4","Cundinamarca","KTM"
"2","801","Samuel MAYA SANCHEZ","Infantil enduro 2","9:04.481","2","8:43.012","8:43.012","13","46:52.627","","4","Valle del Cauca","KTM"
"3","449","Ivvana Rugeles Avendaño","Infantil enduro 2","12:35.060","2","1 Vuelta","1 Vuelta","11","42:57.948","","3","Caldas","KTM"
"NT","629","Jaivert Israel GUZMAN MENDEZ","Infantil enduro 2","","0","NT","","0","21.511","","","Tolima","TVS"
"NT","727","AGUSTIN GALEANO TORRES","Infantil enduro 2","","0","NT","","0","23.395","","","Bogotá D.C.","KTM"
"NT","99","Benjamin ROCHA RUEDA","Infantil enduro 2","","0","NT","","0","","","","Bogotá D.C.","KTM"
