"Pos.","N°","Nombre","Clase","Puntos","Dif. resp. 1°","Mejor Tm","MOTO","LIGA","CLUB","Vueltas","Comentario"
"1","243","David Fernando BURBANO GOMEZ","Supermoto","15","","1:07.231","Husqvarna","Putumayo","TEAM RACING MOCOA","9",""
"2","98","Mateo CASTELLANOS CARVAJAL","Supermoto","13","7.361","1:07.456","KTM","Caldas","CLUB JHC RACING","9",""
"3","227","Rigo German SALAZAR CERON","Supermoto","11","28.046","1:09.747","Yamaha","Quindío","CLUB MONSTER GARAGE","9",""
"4","207","David Alejandro FORERO ZAPATA","Supermoto","10","39.763","1:12.125","Husqvarna","Putumayo","TEAM RACING MOCOA","9",""
"5","68","Alvaro Javier PEREZ BERNAL","Supermoto","9","1 Vuelta","1:16.661","KTM","QUNDÍO","CLUB DISCOVER QUINDIO","8",""
"6","27","Lisandro VASQUEZ RAMIREZ","Supermoto","8","1 Vuelta","1:16.686","Yamaha","Valle del Cauca","MOTOCLUB TRAVESURAS","8",""
"NT","144","JOHN ANDRES VIVAS VARON","Supermoto","0","NT","","Husqvarna","Valle del Cauca","Dos Ruedas Racing Team","",""
