"Pos.","N°","Nombre","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","255","Juan Sebastian WONG RODRÍGUEZ","Pit bike infantil","1:01.487","3","","",""
"2","604","Samuel VARGAS OME","Pit bike infantil","1:03.817","7","2.330","2.330",""
"3","16","Dylan Santiago RODRIGUEZ CUELLAR","Pit bike infantil","1:04.200","5","2.713","0.383",""
"4","737","Juan Jose AMAYA VAHOS","Pit bike infantil","1:05.458","5","3.971","1.258",""
"5","395","","Pit bike infantil","1:05.838","2","4.351","0.380",""
"6","181","Juan David Melo Bastidas","Pit bike infantil","1:06.383","4","4.896","0.545",""
"7","450","Derian Andres ROZO CASTIBLANCO","Pit bike infantil","1:07.955","5","6.468","1.572",""
"8","267","Andres Esteban HIGUITA CARRILLO","Pit bike infantil","1:08.427","5","6.940","0.472",""
"9","226","JOSEPH RAMIREZ VALENCIA","Pit bike infantil","1:17.535","3","16.048","9.108",""
