"Pos.","N°","Nombre","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","428","DANIEL QUINTANA CASTRO","115 cc Inicio","1:02.460","3","","",""
"2","524","Jhon Edwar BALLESTEROS CARDONA","115 cc Inicio","1:02.692","5","0.232","0.232",""
"3","671","JAIRO HERNAN ESCOBAR CRUZ","115 cc Inicio","1:03.044","4","0.584","0.352",""
"4","453","Alexander MARIN YEPES","115 cc Inicio","1:03.162","5","0.702","0.118",""
"5","239","Esteban DORADO SOLARTE","115 cc Inicio","1:03.267","3","0.807","0.105",""
"6","845","Esteban davila gonzalez","115 cc Inicio","1:03.278","5","0.818","0.011",""
"7","388","Daniel Esteban López Vallejos","115 cc Inicio","1:03.417","2","0.957","0.139",""
"8","213","Mario Alejandro GARCIA GARCIA","115 cc Inicio","1:03.478","3","1.018","0.061",""
"9","407","Sebastián Ríos Osorio","115 cc Inicio","1:03.807","4","1.347","0.329",""
"10","114","GIOVANY ANDRES ARTEAGA MONCAYO","115 cc Inicio","1:03.859","6","1.399","0.052",""
"11","242","Benjamín Mayoral Toledo","115 cc Inicio","1:03.893","2","1.433","0.034",""
"12","E-503","Julian Parra ruiz","115 cc Inicio","1:03.931","5","1.471","0.038",""
"13","724","David Andres RAMIREZ","115 cc Inicio","1:03.949","3","1.489","0.018",""
"14","E-802","Juan camilo rivera bedoya","115 cc Inicio","1:04.053","6","1.593","0.104",""
"15","191","SANTIAGO MARTINEZ ZULUAGA","115 cc Inicio","1:04.085","5","1.625","0.032",""
"16","95","Gerardo Aníbal Martínez Ochoa","115 cc Inicio","1:04.278","5","1.818","0.193",""
"17","430","JOLMAN JHAN CARLOS RUIZ ENRIQUEZ","115 cc Inicio","1:04.386","5","1.926","0.108",""
"18","732","FREDDY SANTIAGO MAYA OTAYA","115 cc Inicio","1:04.644","6","2.184","0.258",""
"19","631","Johan GOMEZ PEREZ","115 cc Inicio","1:04.767","2","2.307","0.123",""
"20","164","Andres Felipe millan Franco","115 cc Inicio","1:05.269","2","2.809","0.502",""
"21","614","David Alejandro Roman Ramirez","115 cc Inicio","1:05.572","3","3.112","0.303",""
"22","E-39","Julian David CONCHA VALENCIA","115 cc Inicio","1:05.632","5","3.172","0.060",""
"23","77","David Estevan Calvache González","115 cc Inicio","1:05.842","3","3.382","0.210",""
"24","627","Carlos Andres HUGUITA CARRILLO","115 cc Inicio","1:05.871","3","3.411","0.029",""
"25","E-162","Leonela Fernanda BURITICA RODRIGUEZ","115 cc Inicio","1:05.915","2","3.455","0.044",""
"26","E-206","JUAN SEBASTIAN SATIZABAL ORDOÑEZ","115 cc Inicio","1:05.986","2","3.526","0.071",""
"27","157","Sebastian Fabricio ROMERO TRUJILLO","115 cc Inicio","1:06.017","5","3.557","0.031",""
"28","914","Santiago Andres Guerra Ramos","115 cc Inicio","1:06.044","1","3.584","0.027",""
"29","258","EDWIN ALEXIS SANCHEZ MORA","115 cc Inicio","1:06.496","1","4.036","0.452",""
"30","266","Jhon Rene PARDO ARIAS","115 cc Inicio","1:07.769","3","5.309","1.273",""
