"Pos.","N°","Nombre","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","243","David Fernando BURBANO GOMEZ","Supermoto","1:06.457","5","","",""
"2","98","Mateo CASTELLANOS CARVAJAL","Supermoto","1:07.267","3","0.810","0.810",""
"3","227","Rigo German SALAZAR CERON","Supermoto","1:08.248","3","1.791","0.981",""
"4","207","David Alejandro FORERO ZAPATA","Supermoto","1:12.299","5","5.842","4.051",""
"5","68","Alvaro Javier PEREZ BERNAL","Supermoto","1:17.669","3","11.212","5.370",""
"6","27","Lisandro VASQUEZ RAMIREZ","Supermoto","1:17.871","4","11.414","0.202",""
"7","144","JOHN ANDRES VIVAS VARON","Supermoto","","0","","",""
