"Pos.","N°","Nombre","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","604","Samuel VARGAS OME","Infantil","1:04.140","3","","",""
"2","123","Samuel David HERNANDEZ MONTES","Infantil","1:05.013","4","0.873","0.873",""
"3","395","Andres David Madroñero Alvear","Infantil","1:05.298","5","1.158","0.285",""
"4","737","Juan Jose AMAYA VAHOS","Infantil","1:05.460","4","1.320","0.162",""
"5","168","Jeiccob David CARDOZO VERA","Infantil","1:08.116","3","3.976","2.656",""
"6","307","Juan Jose JIMENEZ HIDALGO","Infantil","1:09.408","2","5.268","1.292",""
"7","725","JOAQUIN ANDRES IBARRA PARRA","Infantil","1:09.646","3","5.506","0.238",""
