"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","227","Rigo German SALAZAR CERON","115 cc Master","Quindío","CLUB MONSTER GARAGE","Yamaha","50.638","1","","",""
"2","45","Juan Carlos SEGURA MARTINEZ","115 cc Master","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","50.789","7","0.151","0.151",""
"3","394-E","Luis Jaime","115 cc Master","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","50.882","2","0.244","0.093",""
"4","710","Alexander DIAZ CASTAÑO","115 cc Master","Cundinamarca","CLUB GIRARDOT RACING","Yamaha","52.335","6","1.697","1.453",""
"5","83","Guillermo Augusto DIAZ","115 cc Master","Quindío","CLUB MONSTER GARAGE","Yamaha","52.814","5","2.176","0.479",""
"6","663-E","FREDY ANTONIO BURBANO NARVAEZ","115 cc Master","Putumayo","CLUB EXTREME RACING","Yamaha","54.029","1","3.391","1.215",""
"7","764-E","Wilson villaquiran hidago","115 cc Master","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","54.158","1","3.520","0.129",""
"8","27","Lisandro VASQUEZ RAMIREZ","115 cc Master","Valle del Cauca","MOTOCLUB TRAVESURAS","Yamaha","55.305","2","4.667","1.147",""
"9","676-E","Jimt Astudillo Jimenez","115 cc Master","","","","57.692","7","7.054","2.387",""
"10","973-E","Milton Johan Rivera Moreno","115 cc Master","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","","0","","",""
