"Pos.","N°","Nombre","Puntos","LIGA","Clase","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Total T°","Vueltas","Comentario"
"1","555","Luciana MORENO SALCEDO","15","Bogotá D.C.","Femenina A","Xspeed Racing","Yamaha","1:39.778","3","","","16:06.573","9",""
"2","141","Isabela VILLEGAS BRAND","13","Valle del Cauca","Femenina A","Team Potenza","Yamaha","1:39.926","5","3.726","3.726","16:10.299","9",""
"3","834","Valery Fernanda ARIAS ARCOS","11","Nariño","Femenina A","CLUB DEPORTIVO BUFALO XTREM","Yamaha","1:46.355","4","1:41.179","1:37.453","17:47.752","9",""
