"Pos.","N°","Nombre","Clase","Puntos","LIGA","CLUB","Dif. resp. 1°","MOTO","Vueltas","Mejor Tm"
"1","53","Simón RESTREPO GUZMAN","MX PRE-EXPERTOS","3","Antioquia","CLUB MOTOCROSS YARUMAL","","Yamaha","7","1:23.710"
"2","34","Omar Andres HOYOS RIVERA","MX PRE-EXPERTOS","2","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","21.855","Yamaha","7","1:26.926"
"3","811","SEBASTIAN LOPEZ MONCAYO","MX PRE-EXPERTOS","1","Nariño","CLUB BUFALO XTREM PARK","40.724","Honda","7","1:29.471"
"4","221","Peter FRISH KLEVER","MX PRE-EXPERTOS","1","Cesar","VIRUS RACING","1:01.280","Yamaha","7","1:29.834"
"5","29","Jeronimo PIEDRAHITA HINCAPIE","MX PRE-EXPERTOS","1","Caldas","CLUB DE MOTOCICLISMO JP36","1:06.807","Honda","7","1:31.183"
"6","336-E","DAVID ALEJANDRO IBARRA ECHEVERRY","MX PRE-EXPERTOS","1","Putumayo","CLUB EXTREME RACING","1:25.093","Yamaha","7","1:35.055"
"7","454","Mateo ALVAREZ GONZALEZ","MX PRE-EXPERTOS","1","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","1 Vuelta","LGP Mobility","6","1:38.101"
"8","269","Jhon santiago HERNANDEZ BERMUDEZ","MX PRE-EXPERTOS","1","Valle del Cauca","Carasucias","1 Vuelta","Husqvarna","6","1:40.018"
"9","529","Esteban GONZALEZ LOPEZ","MX PRE-EXPERTOS","1","Valle del Cauca","Club VALLE","6 Vueltas","KTM","1","11:34.139"
