"Pos.","N°","Nombre","Puntos","LIGA","Clase","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Total T°","Vueltas","Comentario"
"1","919","David CHACON GUZMAN","15","Bogotá D.C.","Mx pro","Todo terreno track","Honda","1:27.550","2","","","22:48.800","15",""
"2","837","JHOAN ANDRES BARRAGAN ALVAREZ","13","Putumayo","Mx pro","TEAM RACING MOCOA","Honda","1:28.645","5","24.801","24.801","23:13.601","15",""
"3","66","Miguel Angel ROJAS ALBA","11","Bogotá D.C.","Mx pro","Racing pilots Academy","KTM","1:29.311","1","33.526","8.725","23:22.326","15",""
"4","235","Paco TORRES CASTAÑEDA","10","Bogotá D.C.","Mx pro","Xspeed Racing","Yamaha","1:35.668","3","1 Vuelta","1 Vuelta","24:03.886","14",""
"5","107","Miguel Angel FLOREZ VALENCIA","9","Antioquia","Mx pro","CLUB ANTIOQUIA 2 RUEDAS RACER","Honda","1:35.850","1","4 Vueltas","3 Vueltas","23:00.113","11",""
"NT","54","Thomas ZULUAGA GIRALDO","0","Antioquia","Mx pro","CLUB GRILLOS RACING","Yamaha","","0","NT","","","",""
"NT","221","Peter FRISH KLEVER","0","Cesar","Mx pro","VIRUS RACING","GasGas","","0","NT","","","",""
