"Pos.","N°","Nombre","Clase","Puntos","LIGA","CLUB","Dif. resp. 1°","MOTO","Vueltas","Mejor Tm"
"1","111","Martin OSPINA CUELLO","85 cc Junior","15","Bogotá D.C.","Xspeed Racing","","Yamaha","12","1:25.705"
"2","222","Maximiliano RAMIREZ RESTREPO","85 cc Junior","13","Antioquia","STUNT FIVE","10.666","Yamaha","12","1:26.515"
"3","113","Tomas VERGARA ARANZAZU","85 cc Junior","11","Antioquia","CLUB MOTOCROSS DE YARUMAL","1:07.485","Yamaha","12","1:29.219"
"4","331","Juan Pablo CARMONA GIRALDO","85 cc Junior","10","Bogotá D.C.","Todo terreno track","1:19.112","GasGas","12","1:30.388"
"5","120","Matias GOMEZ ORJUELA","85 cc Junior","9","Bogotá D.C.","Todo terreno track","1:52.910","KTM","12","1:32.642"
"6","301","Sebastian SANDOVAL VERGARA","85 cc Junior","8","Bogotá D.C.","Xspeed Racing","1 Vuelta","KTM","11","1:33.987"
"NT","98-E","salome henao torres","85 CC JUNIOR","0","Antioquia","CLUB GRILLOS RACING","NT","Yamaha","",""
