"Pos.","N°","Nombre","Puntos","LIGA","Clase","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Total T°","Vueltas","Comentario"
"1","36","Jhon Jairo PINEDA VELASQUEZ","15","Caldas","Mx master","CLUB DE MOTOCICLISMO JP36","Honda","1:35.358","3","","","18:26.257","11",""
"2","235","Paco TORRES CASTAÑEDA","13","Bogotá D.C.","Mx master","Xspeed Racing","Yamaha","1:34.702","1","2.027","2.027","18:28.284","11",""
"3","79","Ricardo RESTREPO URIBE","11","Antioquia","Mx master","CLUB ANTIOQUIA 2 RUEDAS RACER","Yamaha","1:41.555","2","1:20.222","1:18.195","19:46.479","11",""
"4","214","Damian Monroy Valencia","10","Antioquia","Mx master","CLUB ANTIOQUIA 2 RUEDAS RACER","Yamaha","1:44.950","1","1:44.710","24.488","20:10.967","11",""
"NT","254","Erick caruso","0","Cesar","Mx master","VIRUS RACING","KTM","1:48.642","1","NT","","10:05.617","5",""
