"Pos.","N°","Nombre","Puntos","LIGA","Clase","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Total T°","Vueltas","Comentario"
"1","53","Simón RESTREPO GUZMAN","15","Antioquia","Mx pre-expertos","CLUB MOTOCROSS YARUMAL","Yamaha","1:39.906","4","","","19:29.785","11",""
"2","213","Jhon Alexander PICON BOLAÑOS","13","Cesar","Mx pre-expertos","VIRUS RACING","KTM","1:34.403","8","31.457","31.457","20:01.242","11",""
"3","811","SEBASTIAN LOPEZ MONCAYO","11","Nariño","Mx pre-expertos","CLUB DEPORTIVO BUFALO XTREM","KTM","1:42.822","5","47.275","15.818","20:17.060","11",""
"4","29","Jeronimo PIEDRAHITA HINCAPIE","10","Caldas","Mx pre-expertos","CLUB DE MOTOCICLISMO JP36","Honda","1:45.680","5","1:29.959","42.684","20:59.744","11",""
"5","454","Mateo ALVAREZ GONZALEZ","9","Antioquia","Mx pre-expertos","CLUB ANTIOQUIA 2 RUEDAS RACER","Yamaha","1:59.119","5","2 Vueltas","2 Vueltas","19:54.109","9",""
