"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","Comentario","Q ","R1 ","R2 "
"1","36","Jhon Jairo PINEDA VELASQUEZ","Mx master","32","0","Honda","Caldas","CLUB DE MOTOCICLISMO JP36","","2","15","15"
"2","235","Paco TORRES CASTAÑEDA","Mx master","29","3","Yamaha","Bogotá D.C.","Xspeed Racing","","3","13","13"
"3","79","Ricardo RESTREPO URIBE","Mx master","23","9","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","","1","11","11"
"4","214","Damian Monroy Valencia","Mx master","21","11","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","","1","10","10"
"5","254","Erick caruso","Mx master","1","31","KTM","Cesar","VIRUS RACING","","1","0","0"
