"Pos.","N°","Nombre","Clase","Puntos","LIGA","CLUB","Dif. resp. 1°","MOTO","Vueltas","Mejor Tm"
"1","53","Simón RESTREPO GUZMAN","MX PRE-EXPERTOS","15","Antioquia","CLUB MOTOCROSS YARUMAL","","Yamaha","12","1:24.993"
"2","34","Omar Andres HOYOS RIVERA","MX PRE-EXPERTOS","13","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","21.254","Yamaha","12","1:28.497"
"3","811","SEBASTIAN LOPEZ MONCAYO","MX PRE-EXPERTOS","11","Nariño","CLUB BUFALO XTREM PARK","54.602","Honda","12","1:30.586"
"4","29","Jeronimo PIEDRAHITA HINCAPIE","MX PRE-EXPERTOS","10","Caldas","CLUB DE MOTOCICLISMO JP36","1:34.307","Honda","12","1:31.654"
"5","336-E","DAVID ALEJANDRO IBARRA ECHEVERRY","MX PRE-EXPERTOS","9","Putumayo","CLUB EXTREME RACING","1 Vuelta","Yamaha","11","1:32.180"
"6","454","Mateo ALVAREZ GONZALEZ","MX PRE-EXPERTOS","8","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","1 Vuelta","LGP Mobility","11","1:39.807"
"7","529","Esteban GONZALEZ LOPEZ","MX PRE-EXPERTOS","7","Valle del Cauca","Club VALLE","1 Vuelta","KTM","11","1:30.101"
"NT","221","Peter FRISH KLEVER","MX PRE-EXPERTOS","0","Cesar","VIRUS RACING","NT","Yamaha","4","1:31.948"
"NT","269","Jhon santiago HERNANDEZ BERMUDEZ","MX PRE-EXPERTOS","0","Valle del Cauca","Carasucias","NT","Husqvarna","",""
