"Pos.","N°","Nombre","Puntos","LIGA","Clase","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Total T°","Vueltas","Comentario"
"1","36","Jhon Jairo PINEDA VELASQUEZ","15","Caldas","Mx master","CLUB DE MOTOCICLISMO JP36","Honda","1:35.395","6","","","19:25.297","12",""
"2","235","Paco TORRES CASTAÑEDA","13","Bogotá D.C.","Mx master","Xspeed Racing","Yamaha","1:34.826","5","3.658","3.658","19:28.955","12",""
"3","79","Ricardo RESTREPO URIBE","11","Antioquia","Mx master","CLUB ANTIOQUIA 2 RUEDAS RACER","Yamaha","1:43.879","2","1 Vuelta","1 Vuelta","19:36.109","11",""
"4","214","Damian Monroy Valencia","10","Antioquia","Mx master","CLUB ANTIOQUIA 2 RUEDAS RACER","Yamaha","1:44.017","3","1 Vuelta","16.668","19:52.777","11",""
"NT","254","Erick caruso","0","Cesar","Mx master","VIRUS RACING","KTM","","0","NT","","","",""
