"Pos.","N°","Nombre","Puntos","LIGA","Clase","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Total T°","Vueltas","Comentario"
"1","E-98","salome henao torres","15","Antioquia","Femenina B","CLUB GRILLOS RACING","Yamaha","1:48.721","1","","","16:25.544","8",""
"2","712","Luz estella Lara Bohórquez","13","Cesar","Femenina B","VIRUS RACING","KTM","2:05.113","1","1:27.020","1:27.020","17:52.564","8",""
