"Pos.","N°","Nombre","Puntos","LIGA","Clase","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Total T°","Vueltas","Comentario"
"1","75","Juan Pablo Cardona Carvajal","15","Antioquia","INICIO","CLUB MOTOCROSS YARUMAL","Yamaha","1:44.434","2","","","18:46.548","10",""
"2","227","Leonel giraldo jaramillo","13","Tolima","INICIO","GR 522 RACING","KTM","1:44.954","3","13.278","13.278","18:59.826","10",""
"3","E-707","Cristian Felipe Aguirre Vélez","11","Antioquia","INICIO","CLUB MOTOCROSS DE YARUMAL","Yamaha","1:43.955","3","17.991","4.713","19:04.539","10",""
"4","97","Juan Camilo Restrepo Ospina","10","Antioquia","INICIO","CLUB MOTOCROSS DE YARUMAL","Yamaha","1:46.126","3","1:03.670","45.679","19:50.218","10",""
"5","979","Luis Alejandro Atuesta Ardila","9","Santander","INICIO","CLUB DEPORTIVO SANTANDER MAX EXTREMO","Honda","1:54.447","2","2:10.569","1:06.899","20:57.117","10",""
"6","57","JOSE MIGUEL SERRANO LARROTA","8","Santander","INICIO","CLUB DEPORTIVO SANTANDER MAX EXTREMO","GasGas","2:07.734","1","2 Vueltas","2 Vueltas","18:57.875","8",""
"NT","73","Jerónimo OCAMPO CAMPUZANO","0","Caldas","INICIO","CLUB DE MOTOCICLISMO JP36","Yamaha","1:45.243","1","NT","","15:34.548","8",""
