"Pos.","N°","Nombre","Puntos","LIGA","Clase","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Total T°","Vueltas","Comentario"
"1","837","JHOAN ANDRES BARRAGAN ALVAREZ","15","Putumayo","125 cc","TEAM RACING MOCOA","KTM","1:32.416","5","","","24:41.678","15",""
"2","777","Euclides Antonio TORRES ROSALES","13","Bogotá D.C.","125 cc","Xspeed Racing","KTM","1:32.607","3","22.622","22.622","25:04.300","15",""
"3","222","Maximiliano RAMIREZ RESTREPO","11","Antioquia","125 cc","STUNT FIVE","Yamaha","1:33.143","4","1:24.501","1:01.879","26:06.179","15",""
"4","700","Maximiliano GUERRA ALVAREZ","10","Antioquia","125 cc","CLUB GRILLOS RACING","Yamaha","1:38.798","11","1 Vuelta","1 Vuelta","24:51.652","14",""
"5","321","Jorge Esteban VARGAS GONZALES","9","Antioquia","125 cc","CLUB MOTOCROSS DE YARUMAL","Yamaha","1:40.497","3","1 Vuelta","34.266","25:25.918","14",""
"6","331","Juan Pablo CARMONA GIRALDO","8","Bogotá D.C.","125 cc","Todo terreno track","GasGas","1:41.729","8","1 Vuelta","2.139","25:28.057","14",""
"7","64","Jacobo GIL MARIN","7","Antioquia","125 cc","CLUB MOTOCROSS YARUMAL","Yamaha","1:37.558","10","1 Vuelta","18.082","25:46.139","14",""
"8","36-2","Thomas PINEDA GONZALEZ","6","Caldas","125 cc","CLUB DE MOTOCICLISMO JP36","Honda","1:37.668","12","1 Vuelta","16.322","26:02.461","14",""
"9","210","Juan Pablo Muñoz Gómez","5","Cesar","125 cc","K-LIMA RACING","Husqvarna","1:41.907","3","1 Vuelta","1.952","26:04.413","14",""
"10","630","Samuel Andres PINTO DUARTE","4","Meta","125 cc","VILLAVICENCIO RACING CLUB","Yamaha","1:41.409","9","2 Vueltas","1 Vuelta","25:16.206","13",""
"11","281","Moises BETANCUR OCHOA","3","Antioquia","125 cc","CLUB ANTIOQUIA 2 RUEDAS RACER","Yamaha","1:42.604","3","2 Vueltas","0.276","25:16.482","13",""
"12","199","Nicolas Felipe REY REY","2","Cundinamarca","125 cc","CLUB IGUANA RACING GIRARDOT","KTM","1:40.608","3","2 Vueltas","37.317","25:53.799","13",""
"13","146","Gabriel Alejandro MESA ARROYO","1","Nariño","125 cc","CLUB DEPORTIVO BUFALO XTREM","Yamaha","1:47.724","6","2 Vueltas","6.643","26:00.442","13",""
"14","213","Jhon Alexander PICON BOLAÑOS","1","Cesar","125 cc","VIRUS RACING","KTM","1:44.992","4","2 Vueltas","34.259","26:34.701","13",""
"15","221","Peter FRISH KLEVER","1","Cesar","125 cc","VIRUS RACING","GasGas","1:38.036","1","3 Vueltas","1 Vuelta","25:37.794","12",""
"16","710","Juan David MENDOZA DUARTE","0","Meta","125 cc","VILLAVICENCIO RACING CLUB","Husqvarna","1:37.368","7","3 Vueltas","15.081","25:52.875","12",""
"17","454","Mateo ALVAREZ GONZALEZ","0","Antioquia","125 cc","CLUB ANTIOQUIA 2 RUEDAS RACER","Yamaha","1:58.800","7","3 Vueltas","38.478","26:31.353","12",""
"NT","114","Miguel Angel LOPEZ MARTINEZ","0","Quindío","125 cc","CLUB RUTEROS DEL QUINDIO","Husqvarna","","0","NT","","","",""
