"Pos.","N°","Nombre","Clase","Puntos","LIGA","CLUB","Dif. resp. 1°","MOTO","Vueltas","Mejor Tm"
"1","919","David CHACON GUZMAN","Mx pro","15","Bogotá D.C.","Todo terreno track","","Honda","15","1:27.074"
"2","837","JHOAN ANDRES BARRAGAN ALVAREZ","Mx pro","13","Putumayo","TEAM RACING MOCOA","50.191","Husqvarna","15","1:30.052"
"3","54","Thomas ZULUAGA GIRALDO","Mx pro","11","Antioquia","CLUB GRILLOS RACING","1 Vuelta","Yamaha","14","1:30.880"
"4","107","Miguel Angel FLOREZ VALENCIA","Mx pro","10","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","3 Vueltas","Yamaha","12","1:40.317"
"NT","59","Carlos Andres Urrea Henao","Mx pro","0","Antioquia","CLUB GRILLOS RACING","NT","Yamaha","",""
"NT","211","Yeison Alexander QUIÑONES RICO","Mx pro","0","Santander","CLUB MOTO FULL RACING TEAM","NT","Honda","",""
"NT","235","Paco TORRES CASTAÑEDA","Mx pro","0","Bogotá D.C.","Xspeed Racing","NT","Yamaha","",""
