"Pos.","N°","Nombre","Clase","Puntos","LIGA","CLUB","Dif. resp. 1°","MOTO","Vueltas","Mejor Tm"
"1","919","David CHACON GUZMAN","Mx pro","3","Bogotá D.C.","Todo terreno track","","Honda","7","1:14.248"
"2","837","JHOAN ANDRES BARRAGAN ALVAREZ","Mx pro","2","Putumayo","TEAM RACING MOCOA","14.683","Husqvarna","7","1:19.860"
"3","54","Thomas ZULUAGA GIRALDO","Mx pro","1","Antioquia","CLUB GRILLOS RACING","22.765","Yamaha","7","1:20.721"
"4","211","Yeison Alexander QUIÑONES RICO","Mx pro","1","Santander","CLUB MOTO FULL RACING TEAM","26.824","Honda","7","1:21.133"
"5","59","Carlos Andres Urrea Henao","Mx pro","1","Antioquia","CLUB GRILLOS RACING","28.064","Yamaha","7","1:20.376"
"6","235","Paco TORRES CASTAÑEDA","Mx pro","1","Bogotá D.C.","Xspeed Racing","54.940","Yamaha","7","1:25.368"
"7","107","Miguel Angel FLOREZ VALENCIA","Mx pro","1","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","1:04.514","Yamaha","7","1:05.941"
