"Pos.","N°","Nombre","Clase","Puntos","LIGA","CLUB","Dif. resp. 1°","MOTO","Vueltas","Mejor Tm"
"1","54","Thomas ZULUAGA GIRALDO","Mx 2","15","Antioquia","CLUB GRILLOS RACING","","Yamaha","14","1:31.577"
"2","228","Jeronimo DAMELINES LOAIZA","Mx 2","13","Risaralda","CLUB LOS GUEPARDOS","45.834","Husqvarna","14","1:33.351"
"3","627","JERONIMO ROMAN VELASQUEZ","Mx 2","11","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","2 Vueltas","Yamaha","12","1:41.372"
"4","710","Juan David MENDOZA DUARTE","Mx 2","10","Meta","VILLAVICENCIO RACING CLUB","4 Vueltas","KTM","10","1:49.515"
"","114","Miguel Angel LOPEZ MARTINEZ","Mx 2","9","Quindío","CLUB RUTEROS DEL QUINDIO","7 Vueltas","GasGas","7","1:32.791"
"","211","Yeison Alexander QUIÑONES RICO","Mx 2","0","Santander","CLUB MOTO FULL RACING TEAM","9 Vueltas","Honda","5","1:31.943"
