"Pos.","N°","Nombre","Clase","Mejor Tm","LIGA","CLUB","MOTO","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","662","Carlos Ivan RIVERA BURBANO","50 cc","1:04.337","Nariño","CLUB JOSMARC MOTOS RACING","TVS","7","","",""
"2","152","Jainer José Messino España","50 cc","1:05.707","Cesar","K-LIMA RACING","YCF","5","1.370","1.370",""
"3","825","Thomas Rodriguez Taborda","50 cc","1:16.537","Tolima","","YCF","5","12.200","10.830",""
"4","784","Isabella Diaz botero","50 cc","1:22.258","Quindío","CLUB MONSTER GARAGE","YCF","5","17.921","5.721",""
