"Pos.","N°","Nombre","Clase","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","662","Carlos Ivan RIVERA BURBANO","50 cc","TVS","1:26.971","8","6","15","","",""
"2","825","Thomas Rodriguez Taborda","50 cc","YCF","1:33.786","8","5","13","1:00.755","1:00.755",""
"3","784","Isabella Diaz botero","50 cc","YCF","1:33.723","8","6","11","1:20.760","20.005",""
"4","152","Jainer José Messino España","50 cc","YCF","1:20.874","6","3","10","2 Vueltas","2 Vueltas",""
