"Pos.","N°","Nombre","Clase","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","227","Rigo German SALAZAR CERON","150 cc Master","Yamaha","1:07.237","8","2","15","","",""
"2","710","Alexander DIAZ CASTAÑO","150 cc Master","Yamaha","1:05.515","8","2","13","12.943","12.943",""
"3","204","Andres Felipe LONDOÑO TRUJILLO","150 cc Master","Yamaha","1:11.198","8","3","11","39.242","26.299",""
"4","165","Jhon Fredy GUTIERREZ MOTOYA","150 cc Master","Yamaha","1:10.599","8","2","10","46.121","6.879",""
"5","83","Guillermo Augusto DIAZ","150 cc Master","Yamaha","1:15.305","8","7","9","1:10.845","24.724",""
"6","78","Hugo Alexander TOVAR OSORIO","150 cc Master","Yamaha","1:12.409","8","7","8","1:16.975","6.130",""
"NT","722","Edwin JARAMILLO GALLEGO","150 cc Master","Yamaha","1:14.412","6","4","0","NT","",""
