"Pos.","N°","Nombre","Clase","Mejor Tm","LIGA","CLUB","MOTO","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","227","Rigo German SALAZAR CERON","150 cc Master","54.618","Quindío","CLUB MONSTER GARAGE","Yamaha","2","","",""
"2","204","Andres Felipe LONDOÑO TRUJILLO","150 cc Master","56.649","Antioquia","CLUB GRILLOS RACING","Yamaha","6","2.031","2.031",""
"3","78","Hugo Alexander TOVAR OSORIO","150 cc Master","56.692","Caldas","CLUB RACING PERFORMANCE","Yamaha","6","2.074","0.043",""
"4","710","Alexander DIAZ CASTAÑO","150 cc Master","58.313","Cundinamarca","CLUB GIRARDOT RACING","Yamaha","3","3.695","1.621",""
"5","722","Edwin JARAMILLO GALLEGO","150 cc Master","59.723","Quindío","CLUB MONSTER GARAGE","Yamaha","3","5.105","1.410",""
"6","165","Jhon Fredy GUTIERREZ MOTOYA","150 cc Master","1:00.005","Quindío","CLUB MONSTER GARAGE","Yamaha","6","5.387","0.282",""
"7","83","Guillermo Augusto DIAZ","150 cc Master","1:01.981","Quindío","CLUB MONSTER GARAGE","Yamaha","3","7.363","1.976",""
