"Pos.","N°","Nombre","Clase","Mejor Tm","LIGA","CLUB","MOTO","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","228","Julián Felipe GALLEGO CORREA","150 cc Inicio","54.888","Caldas","CLUB MX PRO MANIZALES","Yamaha","2","","",""
"2","428","DANIEL QUINTANA CASTRO","150 cc Inicio","57.311","Quindío","CLUB RUTEROS DEL QUINDIO","Yamaha","4","2.423","2.423",""
"3","680","Juan Esteban RIVERA MARIN","150 cc Inicio","58.157","Santander","CLUB FLORIDA EXTREMO","Yamaha","4","3.269","0.846",""
"4","755","Didier Esneider ALBORNOZ IBARGUEN","150 cc Inicio","58.365","Quindío","CLUB MONSTER GARAGE","Yamaha","7","3.477","0.208",""
"5","453","Alexander MARIN YEPES","150 cc Inicio","58.510","Quindío","CLUB RUTEROS DEL QUINDIO","Yamaha","2","3.622","0.145",""
"6","71-E","juan camilo aristizabal gutierrez","150 cc Inicio","1:00.049","Caldas","CLUB MX PRO","Yamaha","3","5.161","1.539",""
"7","455-E","Julián camilo Foronda Murcia","150 cc Inicio","1:03.994","Antioquia","STUNT FIVE","Yamaha","3","9.106","3.945",""
