"Pos.","N°","Nombre","Clase","Mejor Tm","LIGA","CLUB","MOTO","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","255","Juan Sebastian WONG RODRÍGUEZ","Pit bike infantil","57.053","Quindío","CLUB MONSTER GARAGE","Yamaha","6","","",""
"2","205","Miguel Angel RIVERA MARIN","Pit bike infantil","59.250","Santander","CLUB FLORIDA EXTREMO","YCF","6","2.197","2.197",""
"3","123","Samuel David HERNANDEZ MONTES","Pit bike infantil","59.280","Cesar","CLUB KALIMA RACING","YCF","8","2.227","0.030",""
"4","168","Jeiccob David CARDOZO VERA","Pit bike infantil","1:00.626","Tolima","CLUB PISTON RACING","Yamaha","3","3.573","1.346",""
"5","737","Juan Jose AMAYA VAHOS","Pit bike infantil","1:00.975","Huila","CLUB MOTO JAPONESA","Yamaha","4","3.922","0.349",""
"6","725","JOAQUIN ANDRES IBARRA PARRA","Pit bike infantil","1:01.814","Huila","CLUB MOTO JAPONESA","Yamaha","6","4.761","0.839",""
"7","682","Juan Esteban Carreño Pinzón","Pit bike infantil","1:03.498","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO","YCF","6","6.445","1.684",""
"8","662","Carlos Ivan RIVERA BURBANO","Pit bike infantil","","Nariño","CLUB JOSMARC MOTOS RACING","YCF","0","","",""
