"Pos.","N°","Nombre","Clase","Mejor Tm","LIGA","CLUB","MOTO","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","98","Mateo CASTELLANOS CARVAJAL","200 cc 2T","52.708","Caldas","CLUB JHC RACING","Yamaha","5","","",""
"2","88","Gerardo camilo TORRES","200 cc 2T","52.782","Valle del Cauca","Dos Ruedas Racing Team","Yamaha","4","0.074","0.074",""
"3","41","Nicolas DUQUE PATIÑO","200 cc 2T","53.700","Meta","VILLAVICENCIO RACING CLUB","Yamaha","4","0.992","0.918",""
"4","745-E","Jeronimo HENAO MARIN","200 cc 2T","53.725","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","4","1.017","0.025",""
"5","528","Juan Andres MARIN ARANGO","200 cc 2T","53.927","Valle del Cauca","MOTOCLUB TRAVESURAS","Yamaha","4","1.219","0.202",""
"6","207","David Alejandro FORERO ZAPATA","200 cc 2T","54.248","Putumayo","TEAM RACING MOCOA","Yamaha","5","1.540","0.321",""
"7","227","Rigo German SALAZAR CERON","200 cc 2T","54.300","Quindío","CLUB MONSTER GARAGE","Yamaha","4","1.592","0.052",""
"8","155","Juan Felipe HERNANDEZ ALZATE","200 cc 2T","54.386","Meta","CLUB LLANEROS RANCING","Yamaha","4","1.678","0.086",""
"9","311","Sebastian Londoño","200 cc 2T","55.569","Caldas","","","8","2.861","1.183",""
