"Pos.","N°","Nombre","Clase","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","123","Samuel David HERNANDEZ MONTES","Infantil","YCF","1:13.510","8","5","15","","",""
"2","682","Juan Esteban Carreño Pinzón","Infantil","YCF","1:13.810","8","8","13","6.784","6.784",""
"3","725","JOAQUIN ANDRES IBARRA PARRA","Infantil","Yamaha","1:12.470","8","7","11","7.685","0.901",""
"4","737","Juan Jose AMAYA VAHOS","Infantil","Yamaha","1:15.233","8","7","10","17.260","9.575",""
"5","662","Carlos Ivan RIVERA BURBANO","Infantil","TVS","1:17.041","8","3","9","37.188","19.928",""
"6","168","Jeiccob David CARDOZO VERA","Infantil","YCF","1:15.819","8","4","8","51.083","13.895",""
"7","152","Jainer José Messino España","Infantil","YCF","1:19.530","7","7","7","1 Vuelta","1 Vuelta",""
"8","673","JUAN ESTEBAN ESCOBAR GONZALEZ","Infantil","Yamaha","1:47.801","5","1","6","3 Vueltas","2 Vueltas",""
