"Pos.","N°","Nombre","Clase","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","155","Juan Felipe HERNANDEZ ALZATE","200 cc 2T","Yamaha","57.463","10","5","15","","",""
"2","98","Mateo CASTELLANOS CARVAJAL","200 cc 2T","Yamaha","58.415","10","8","13","7.845","7.845",""
"3","88","Gerardo camilo TORRES","200 cc 2T","Yamaha","58.279","10","5","11","12.503","4.658",""
"4","745-E","Jeronimo HENAO MARIN","200 cc 2T","Yamaha","1:00.663","10","7","10","17.045","4.542",""
"5","41","Nicolas DUQUE PATIÑO","200 cc 2T","Yamaha","58.314","10","5","9","27.265","10.220",""
"NT","207","David Alejandro FORERO ZAPATA","200 cc 2T","Yamaha","1:02.048","9","4","0","NT","1 Vuelta",""
"NT","528","Juan Andres MARIN ARANGO","200 cc 2T","Yamaha","1:08.116","1","1","0","NT","",""
"NT","227","Rigo German SALAZAR CERON","200 cc 2T","Yamaha","1:11.351","1","1","0","NT","",""
"NT","311","Sebastian Londoño","200 cc 2T","","","","0","0","NT","",""
