"Pos.","N°","Nombre","Clase","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","255","Juan Sebastian WONG RODRÍGUEZ","Pit bike infantil","Yamaha","59.171","10","7","0","","",""
"2","123","Samuel David HERNANDEZ MONTES","Pit bike infantil","YCF","59.257","10","7","0","4.423","4.423",""
"3","205","Miguel Angel RIVERA MARIN","Pit bike infantil","YCF","59.140","10","7","0","5.019","0.596",""
"4","737","Juan Jose AMAYA VAHOS","Pit bike infantil","Yamaha","1:01.314","10","7","0","26.402","21.383",""
"5","168","Jeiccob David CARDOZO VERA","Pit bike infantil","Yamaha","1:01.592","10","8","0","33.118","6.716",""
"6","725","JOAQUIN ANDRES IBARRA PARRA","Pit bike infantil","Yamaha","1:03.801","10","4","0","48.579","15.461",""
"7","682","Juan Esteban Carreño Pinzón","Pit bike infantil","YCF","1:05.120","9","4","0","1 Vuelta","1 Vuelta",""
"NE","662","Carlos Ivan RIVERA BURBANO","Pit bike infantil","YCF","","","0","0","NE","",""
