"Pos.","N°","Nombre","Clase","Mejor Tm","LIGA","CLUB","MOTO","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","725","JOAQUIN ANDRES IBARRA PARRA","ESCUELA FEDEMOTO","1:12.284","Huila","CLUB MOTO JAPONESA","YCF","5","","",""
"2","737","Juan Jose AMAYA VAHOS","ESCUELA FEDEMOTO","1:13.206","Huila","CLUB MOTO JAPONESA","YCF","4","0.922","0.922",""
"3","168","Jeiccob Cardozo","ESCUELA FEDEMOTO","1:13.971","Tolima","","","6","1.687","0.765",""
"4","682","Juan Esteban Carreño Pinzón","ESCUELA FEDEMOTO","1:14.922","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO","YCF","6","2.638","0.951",""
"5","130","Keller Andres FARFAN BENAVIDES","ESCUELA FEDEMOTO","1:22.535","Tolima","CLUB PISTON RACING","Yamaha","6","10.251","7.613",""
"6","724","Miguel Angel Castillo Diago","ESCUELA FEDEMOTO","1:34.905","Tolima","","","5","22.621","12.370",""
"7","583","Ian Giovanni Candia Jimenez","ESCUELA FEDEMOTO","1:35.841","Tolima","","","1","23.557","0.936",""
"NE","662","Carlos Ivan Rivera Burbano","ESCUELA FEDEMOTO","","Nariño","","YCF","0","","",""
"NE","784","Isabella Diaz botero","ESCUELA FEDEMOTO","","Quindío","CLUB MONSTER GARAGE","Yamaha","0","","",""
