"Pos.","N°","Nombre","Clase","Mejor Tm","LIGA","CLUB","MOTO","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","745-E","Jeronimo HENAO MARIN","115 cc Infantil","55.673","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","4","","",""
"2","205","Miguel Angel RIVERA MARIN","115 cc Infantil","57.888","Santander","CLUB FLORIDA EXTREMO","Yamaha","6","2.215","2.215",""
"3","168","Jeiccob David CARDOZO VERA","115 cc Infantil","59.193","Tolima","CLUB PISTON RACING","Yamaha","6","3.520","1.305",""
"4","161","Juan Esteban ZAPATA MUÑOZ","115 cc Infantil","59.969","Caldas","CLUB RACING PERFORMANCE","Yamaha","7","4.296","0.776",""
"5","737","Juan Jose AMAYA VAHOS","115 cc Infantil","1:05.069","Huila","CLUB MOTO JAPONESA","Yamaha","6","9.396","5.100",""
"6","682","Juan Esteban Carreño Pinzón","115 cc Infantil","1:07.019","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO","Yamaha","5","11.346","1.950",""
"7","255","Juan Sebastian WONG RODRÍGUEZ","115 cc Infantil","5:07.843","Quindío","CLUB MONSTER GARAGE","Yamaha","1","4:12.170","4:00.824",""
"8","784","Isabella Diaz botero","115 cc Infantil","","Quindío","CLUB MONSTER GARAGE","Yamaha","0","","",""
