"Pos.","N°","Nombre","Clase","Mejor Tm","LIGA","CLUB","MOTO","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","123","Samuel David HERNANDEZ MONTES","Infantil","59.970","Cesar","CLUB KALIMA RACING","YCF","6","","",""
"2","168","Jeiccob David CARDOZO VERA","Infantil","1:02.245","Tolima","CLUB PISTON RACING","YCF","5","2.275","2.275",""
"3","737","Juan Jose AMAYA VAHOS","Infantil","1:02.386","Huila","CLUB MOTO JAPONESA","Yamaha","7","2.416","0.141",""
"4","725","JOAQUIN ANDRES IBARRA PARRA","Infantil","1:03.800","Huila","CLUB MOTO JAPONESA","Yamaha","5","3.830","1.414",""
"5","682","Juan Esteban Carreño Pinzón","Infantil","1:04.193","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO","YCF","7","4.223","0.393",""
"6","662","Carlos Ivan RIVERA BURBANO","Infantil","1:06.673","Nariño","CLUB JOSMARC MOTOS RACING","TVS","6","6.703","2.480",""
"7","152","Jainer José Messino España","Infantil","1:07.307","Cesar","K-LIMA RACING","YCF","6","7.337","0.634",""
"8","673","JUAN ESTEBAN ESCOBAR GONZALEZ","Infantil","1:10.544","Quindío","CLUB MONSTER GARAGE","Yamaha","6","10.574","3.237",""
