"Pos.","N°","Nombre","Clase","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","745-E","Jeronimo HENAO MARIN","115 cc Infantil","Yamaha","1:08.549","10","8","15","","",""
"2","205","Miguel Angel RIVERA MARIN","115 cc Infantil","Yamaha","1:09.935","10","8","13","31.249","31.249",""
"3","255","Juan Sebastian WONG RODRÍGUEZ","115 cc Infantil","Yamaha","1:08.634","10","6","11","43.123","11.874",""
"4","161","Juan Esteban ZAPATA MUÑOZ","115 cc Infantil","Yamaha","1:10.746","10","9","10","52.729","9.606",""
"5","737","Juan Jose AMAYA VAHOS","115 cc Infantil","Yamaha","1:22.380","9","9","9","1 Vuelta","1 Vuelta",""
"6","682","Juan Esteban Carreño Pinzón","115 cc Infantil","Yamaha","1:22.403","7","2","8","3 Vueltas","2 Vueltas",""
"NT","168","Jeiccob David CARDOZO VERA","115 cc Infantil","Yamaha","1:44.879","1","1","0","NT","",""
