"Pos.","N°","Nombre","Clase","Mejor Tm","LIGA","CLUB","MOTO","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","88","Gerardo camilo TORRES","Pit bike","","Valle del Cauca","Dos Ruedas Racing Team","YCF","0","","",""
"2","130","Keller Andres FARFAN BENAVIDES","Pit bike","","Tolima","CLUB PISTON RACING","YCF","0","","",""
"3","255","Juan Sebastian WONG RODRÍGUEZ","Pit bike","","Quindío","CLUB MONSTER GARAGE","Yamaha","0","","",""
"4","424","Juan Manuel FORERO BANDERA","Pit bike","","Tolima","CLUB PISTON RACING","YCF","0","","",""
"5","681","Andres Felipe RESTREPO CASTRILLON","Pit bike","","Valle del Cauca","MOTOCLUB TRAVESURAS","YCF","0","","",""
