"Pos.","N°","Nombre","Clase","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","88","Gerardo camilo TORRES","PIT BIKE","YCF","1:06.548","10","2","15","","",""
"2","424","Juan Manuel FORERO BANDERA","PIT BIKE","YCF","1:08.424","10","3","13","12.580","12.580",""
"3","255","Juan Sebastian WONG RODRÍGUEZ","PIT BIKE","Yamaha","1:06.882","10","4","11","38.488","25.908",""
"NT","681","Andres Felipe RESTREPO CASTRILLON","PIT BIKE","YCF","1:06.230","3","3","0","NT","",""
"NE","130","Keller Andres FARFAN BENAVIDES","PIT BIKE","YCF","","","0","0","NE","",""
