"Pos.","N°","Nombre","Clase","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","227","Rigo German SALAZAR CERON","115 cc Master","Yamaha","1:04.110","10","4","15","","",""
"2","710","Alexander DIAZ CASTAÑO","115 cc Master","Yamaha","1:03.375","10","4","13","19.023","19.023",""
"3","790","Juan Gerardo ALBARAN HINCAPIE","115 cc Master","Yamaha","1:06.719","10","4","11","30.682","11.659",""
"4","204","Andres Felipe LONDOÑO TRUJILLO","115 cc Master","Yamaha","1:08.075","10","3","10","1:08.247","37.565",""
"5","78","Hugo Alexander TOVAR OSORIO","115 cc Master","Yamaha","1:07.604","9","4","9","1 Vuelta","1 Vuelta",""
"6","83","Guillermo Augusto DIAZ","115 cc Master","Yamaha","1:15.375","8","3","8","2 Vueltas","1 Vuelta",""
"NT","722","Edwin JARAMILLO GALLEGO","115 cc Master","Yamaha","","","0","0","NT","",""
