"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor T° total"
"55","162-E","Leonela Fernanda BURITICA RODRIGUEZ","CRS Novatos","Cauca","CLUB CORONA CLUB XTREME PARK","Bajaj","1:31.312"
"56","296","JOHN SEBASTIAN GIL MOLINA","CRS Novatos","Antioquia","Club Deportivo Terras de San Marinno","Bajaj","1:31.547"
"57","792","Daniel Felipe Briceño Bautista","CRS Novatos","Cundinamarca","CLUB GIRARDOT RACING","Bajaj","1:31.722"
"58","823","Cristian David FRANCO CAMACHO","CRS Novatos","Huila","CLUB MOTO JAPONESA","Bajaj","1:31.933"
"59","201","Juan Camilo gelvez pabon","CRS Novatos","Tolima","CLUB PISTON RACING","Bajaj","1:32.214"
"60","495","Santiago Marn Mayen","CRS Novatos","Bogotá D.C.","Club BOGOTA","Bajaj","1:32.604"
"61","599","Adrián Felipe Pineda Velásquez","CRS Novatos","Antioquia","CLUB GRILLOS RACING","Bajaj","1:32.652"
"62","796","William Gilberto Garcia Sierra","CRS Novatos","Cundinamarca","CLUB IGUANA RACING GIRARDOT","Bajaj","1:32.652"
"63","955","OSVALDO SAENZ","","Cundinamarca","","","1:32.655"
"64","505-E","miranda valentina la rosa acosta","CRS Novatos","Bogotá D.C.","Todo terreno track","Bajaj","1:33.742"
"65","762","Valeria ALVAREZ ALZATE","CRS Novatos","Cundinamarca","CLUB GIRARDOT RACING","Bajaj","1:34.073"
"66","376","Laura Sabhina Franco Gonzalez","CRS Novatos","Tolima","CLUB PISTON RACING","Bajaj","1:34.664"
"67","58","Maroly Nicole BASABE","CRS Novatos","Tolima","CLUB PISTON RACING","Bajaj","1:35.484"
"68","522","Carlos David Baez Palomino","CRS Novatos","Bogotá D.C.","Racing pilots Academy","Bajaj","1:36.404"
"69","271","Paula Andrea URREGO ARIAS","CRS Novatos","Cundinamarca","CLUB GIRARDOT RACING","Bajaj","1:36.480"
"70","328","Duban Yesid Hernández sechagua","CRS Novatos","Valle del Cauca","Dos Ruedas Racing Team","Bajaj","1:36.501"
"71","665","JHONATAN ANDRES RODRIGUEZ LLANOS","CRS Novatos","Valle del Cauca","Dos Ruedas Racing Team","Bajaj","1:37.007"
"72","405","Erika Milena OVALLE OCHOA","CRS Novatos","Tolima","CLUB PISTON RACING","Bajaj","1:37.281"
"73","318","Manuela MORENO ESPINEL","CRS Novatos","Tolima","CLUB PISTON RACING","Bajaj","1:37.826"
"74","852","Alvaro Eduardo Santacruz Barrera","CRS Novatos","Tolima","CLUB RADICAL RACING TEAM","Honda","1:40.127"
"75","23","Kevin Arturo RUBIANO VERGARA","CRS Novatos","Bogotá D.C.","Todo terreno track","Bajaj","1:41.789"
"76","357","Edwin Castaño Cardona","CRS Novatos","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","TVS","1:57.573"
"77","955","Osvaldo Oliver LOPEZ SAENZ","CRS Novatos","Cundinamarca","","",""
"78","996","DILAN MACKLEIN MARTÍNEZ","CRS Novatos","Tolima","CLUB PISTON RACING","Bajaj",""
"79","919","Jeann Carlos Franco avila","CRS Novatos","Tolima","CLUB MOTORBIKE","Bajaj",""
"80","794","Cristian Steven BECERRA PUERTO","CRS Novatos","Cundinamarca","CLUB GIRARDOT RACING","Yamaha",""
"81","611","Edward alejandro vivas ruiz","CRS Novatos","Bogotá D.C.","Racing pilots Academy","Bajaj",""
"82","541","Gustavo Adolfo Ossa Pareja","CRS Novatos","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","Bajaj",""
