"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","728","Luis Felipe ARREDONDO GIRALDO","15","Super bike","Yamaha","Antioquia","CLUB LOS PASKINES","","1:08.525","8","","9:16.986"
"2","272","Alfonso Gustavo LINARES OCHOA","13","Super bike","Ducati","Bogotá D.C.","Todo terreno track","0.007","1:08.728","8","","9:16.993"
"3","189","FELIPE PALOMINO","11","Super bike","","Tolima","","1.916","1:09.309","8","","9:18.902"
"4","931","Cesar Augusto VALDIVIESO VARGAS","10","Super bike","Yamaha","Cundinamarca","CLUB GIRARDOT RACING","2.018","1:09.187","8","","9:19.004"
"5","12","Tomas PUERTA VASQUEZ","9","Super bike","Honda","Antioquia","CLUB LOS PASKINES","11.708","1:09.389","8","","9:28.694"
"6","11","Juan Esteban RAMIREZ GOMEZ","8","Super bike","BMW","Antioquia","CLUB MOTOCROSS YARUMAL","13.574","1:10.606","8","","9:30.560"
"7","716","Jesus Aurelio BURGOS TORRES","7","Super bike","Aprilia","Bogotá D.C.","Todo terreno track","15.553","1:10.340","8","","9:32.539"
"8","40","Santiago ALZATE GOMEZ","6","Super bike","BMW","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","15.666","1:10.839","8","","9:32.652"
"9","73","Richard Edward MENJURA MACIAS","5","Super bike","BMW","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO","16.145","1:10.861","8","","9:33.131"
"10","97","Edinson Esteban RONCERIA SILVA","4","Super bike","GasGas","Bogotá D.C.","Todo terreno track","26.677","1:11.177","8","","9:43.663"
"11","87","Gerson Caleb SERRANO DAZA","3","Super bike","Ducati","Bogotá D.C.","Todo terreno track","32.120","1:12.245","8","","9:49.106"
"12","984","Jhon Javier MONSALVE MENDOZA","2","Super bike","BMW","Tolima","CLUB PISTON RACING","56.880","1:15.959","8","","10:13.866"
"13","13","Angelo Mauricio BONILLA ZAPATA","1","Super bike","Honda","Bogotá D.C.","Racing pilots Academy","58.610","1:13.776","8","","10:15.596"
"14","496","Nicolas BERMUDEZ CASTILLO","1","Super bike","Aprilia","Bogotá D.C.","Racing pilots Academy","1:13.194","1:17.491","8","","10:30.180"
"NT","779","Rafael Andrés Rojas Ibáñez","0","Super bike","Ducati","Bogotá D.C.","Todo terreno track","NT","","","","3.437"
"NT","630","Herman Andres MANTILLA NUÑEZ","0","Super bike","Suzuki","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO","NT","","","",""
"NT","909","Javier ARIAS CASTAÑEDA","0","Super bike","BMW","Antioquia","CLUB LOS PASKINES","NT","","","",""
