"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","468","Christian CAJICA","Cuatrimotard (II + III GP)","Bogotá D.C.","Racing pilots Academy","Honda","1:07.668","3","","",""
"2","527","David Alejandro franco Orozco","Cuatrimotard (II + III GP)","Antioquia","STUNT FIVE","Suzuki","1:08.765","4","1.097","1.097",""
"3","778","JHONATAN STEVENS IDAGARRA LOPEZ","Cuatrimotard (II + III GP)","Antioquia","CLUB DE MOTOCICLISMO STUNT FIVE","Yamaha","1:14.136","5","6.468","5.371",""
"4","143","Jorge enrique espinosa romero","Cuatrimotard (II + III GP)","Bogotá D.C.","Racing pilots Academy","Honda","1:15.639","1","7.971","1.503",""
"5","437","Julián Enrique González Alfonso","Cuatrimotard (II + III GP)","Antioquia","CLUB MOTOCROSS YARUMAL","Suzuki","1:16.309","3","8.641","0.670",""
"6","192","Juan Sebastian Medina acevedo","Cuatrimotard (II + III GP)","Antioquia","CLUB MOTOCROSS DE YARUMAL","Yamaha","1:18.462","2","10.794","2.153",""
"7","575","Carlos Enrique González Mora","Cuatrimotard (II + III GP)","Antioquia","CLUB MOTOCROSS YARUMAL","Honda","1:29.014","3","21.346","10.552",""
