"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","272","Alfonso Gustavo LINARES OCHOA","15","Super sport","Ducati","Bogotá","Todo terreno track","","1:11.236","8","","9:36.882"
"2","7","Luis Carlos III SARMIENTO CARVAJAL","13","Super sport","KTM","Bogotá","Xspeed Racing","3.296","1:11.830","8","","9:40.178"
"3","728","Luis Felipe ARREDONDO GIRALDO","11","Super sport","Yamaha","Antioquia","CLUB LOS PASKINES","6.046","1:11.779","8","","9:42.928"
"4","52","Edgar Andres JARAMILLO GOMEZ","10","Super sport","Yamaha","Antioquia","CLUB MOTOCROSS YARUMAL","13.964","1:12.814","8","","9:50.846"
"5","49","Andres Felipe RONCERIA SILVA","9","Super sport","GasGas","Bogotá","Todo terreno track","16.273","1:13.185","8","","9:53.155"
"6","304","Pedro Alejandro GALINDO AMAYA","8","Super sport","Ducati","Bogotá","Racing pilots Academy","20.658","1:13.571","8","","9:57.540"
"7","366","Santiago ARBELAEZ LUNA","7","Super sport","Kawasaki","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","25.827","1:13.290","8","","10:02.709"
"8","813","Juan Felipe SIERRA OSORIO","6","Super sport","Unite Motor","Cundinamarca","CLUB GIRARDOT RACING","25.828","1:13.550","8","","10:02.710"
"9","69","Marco Polo CANO","5","Super sport","Yamaha","Antioquia","","26.773","1:14.292","8","","10:03.655"
"10","542","Cristian David HENAO PINTO","4","Super sport","Aprilia","Bogotá","","36.729","1:15.449","8","","10:13.611"
"11","245","Johann Andres SUSA VALENCIA","3","Super sport","Bajaj","Bogotá","Racing pilots Academy","38.846","1:15.636","8","","10:15.728"
"12","208","Angel Yesid IMBACHI ÑAÑEZ","2","Super sport","Kawasaki","Bogotá","Todo terreno track","41.932","1:15.709","8","","10:18.814"
"13","94","Deiby Jair CORRALES RIOS","1","Super sport","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","59.163","1:16.129","8","","10:36.045"
"14","810","Gustavo Adolfo FERRO CORCHUELO","1","Super sport","Ducati","Bogotá","Xspeed Racing","4 Vueltas","1:19.238","4","","10:41.600"
