"Pos.","N°","Nombre","Puntos","Clase","MOTO","LIGA","CLUB","Dif. resp. 1°","Mejor Tm","Vueltas","Comentario","Total T°"
"1","227","Rigo German SALAZAR CERON","15","SM expertos - Metzeler","Yamaha","Quindío","CLUB MONSTER GARAGE","","55.679","9","","8:26.489"
"2","243","David Fernando BURBANO GOMEZ","13","SM expertos - Metzeler","Yamaha","Putumayo","TEAM RACING MOCOA","0.844","55.582","9","","8:27.333"
"3","528","Juan Andres MARIN ARANGO","11","SM expertos - Metzeler","Yamaha","Valle del Cauca","MOTOCLUB TRAVESURAS","4.275","56.094","9","","8:30.764"
"4","98","Mateo CASTELLANOS CARVAJAL","10","SM expertos - Metzeler","KTM","Caldas","CLUB JHC RACING","4.835","56.014","9","","8:31.324"
"5","189","Luis Felipe PALOMINO MEJIA","9","SM expertos - Metzeler","KTM","Tolima","CLUB PISTON RACING","9.739","56.398","9","","8:36.228"
"6","17","Cristian Camilo VASQUEZ POSADA","8","SM expertos - Metzeler","KTM","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","11.052","56.302","9","","8:37.541"
"7","921","Giomar Nicolas Ruiz Burbano","7","SM expertos - Metzeler","KTM","Nariño","MOTOCLUB CONSACA","12.224","56.606","9","","8:38.713"
"8","41","Nicolas DUQUE PATIÑO","6","SM expertos - Metzeler","Honda","Meta","VILLAVICENCIO RACING CLUB","15.869","56.039","9","","8:42.358"
"9","59","Carlos Andres URREA HENAO","5","SM expertos - Metzeler","KTM","Antioquia","CLUB GRILLOS RACING","16.543","56.662","9","","8:43.032"
"10","166","Johan Camilo GIRALDO RAMIREZ","4","SM expertos - Metzeler","Yamaha","Quindío","CLUB MONSTER GARAGE","18.594","57.006","9","","8:45.083"
"11","52","Edgar Andres JARAMILLO GOMEZ","3","SM expertos - Metzeler","Husqvarna","Antioquia","CLUB MOTOCROSS YARUMAL","18.948","57.050","9","","8:45.437"
"12","10","Helio Fabian ALVAREZ NARANJO","2","SM expertos - Metzeler","Husqvarna","Cundinamarca","CLUB IGUANA RACING GIRARDOT","20.489","57.159","9","","8:46.978"
"13","813","Juan Felipe SIERRA OSORIO","1","SM expertos - Metzeler","Husqvarna","Cundinamarca","CLUB GIRARDOT RACING","26.682","58.034","9","","8:53.171"
"14","721","Juan Andres RODRIGUEZ ARIAS","1","SM expertos - Metzeler","Husqvarna","Caldas","CLUB MX PRO","27.054","58.073","9","","8:53.543"
"15","375","Wilderman RAMIREZ","1","SM expertos - Metzeler","Husqvarna","Antioquia","CLUB GRILLOS RACING","30.749","58.357","9","","8:57.238"
"16","204","Andres Felipe LONDOÑO TRUJILLO","0","SM expertos - Metzeler","Husqvarna","Antioquia","CLUB GRILLOS RACING","31.257","58.436","9","","8:57.746"
"17","9","Christian Fernando MEJIA ALFONSO","0","SM expertos - Metzeler","Yamaha","Santander","CLUB DEPORTIVO SANTANDER MAX EXTREMO","34.926","58.858","9","","9:01.415"
"18","88","Gerardo camilo TORRES","0","SM expertos - Metzeler","Husqvarna","Valle del Cauca","","39.857","58.481","9","","9:06.346"
"19","538","Christian Anderson ROZO MENESES","0","SM expertos - Metzeler","Husqvarna","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","40.292","59.338","9","","9:06.781"
"20","155","Juan Felipe HERNANDEZ ALZATE","0","SM expertos - Metzeler","Yamaha","Putumayo","","49.035","57.896","9","","9:15.524"
"NT","119","Cesar Alfonso TELLEZ OCAMPO","0","SM expertos - Metzeler","Yamaha","Santander","","NT","1:00.228","1","","1:00.879"
"NT","48","David GIRALDO BETANCUR","0","SM expertos - Metzeler","KTM","Antioquia","Club Deportivo Terras de San Marinno","NT","1:03.629","1","","1:04.434"
