"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","R1. ","R2. ","R3. "
"1","81","Santiago Garcés Jiménez","200 Novatos","31","0","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","1","15","15"
"2","227","CARLOS ALBERTO LUCERO","200 Novatos","29","2","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","3","13","13"
"3","26","Rene Alberto ACOSTA CRIOLLO","200 Novatos","23","8","Honda","Quindío","CLUB RUTEROS DEL QUINDIO","1","11","11"
"4","111","Víctor Sebastian Termal Hernández","200 Novatos","2","29","Yamaha","Nariño","CLUB MOTEROS RIDERS LA UNION","2","0","0"
"NT","300-E","JUAN CAMILO FAJARDO ARTEGA","200 Novatos","0","31","Honda","Putumayo","CLUB EXTREME RACING","0","0","0"
"EX","175-E","JHONIER ALEJANDRO CRUZ JUAJIBIOY","200 Novatos","0","31","Yamaha","Putumayo","CLUB EXTREME RACING","0","0","0"
"EX","264","Gelber eduardo acosta lopez","200 Novatos","0","31","Yamaha","Putumayo","CLUB EXTREME RACING","0","0","0"
