"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","255","JUAN JOSE LEYTON","INFANTIL MINI","RISARALDA","","","1:05.052","10","3","15","","",""
"2","319","Samuel BELTRÁN PRIETO","INFANTIL MINI","Tolima","GR 522 RACING","KTM","1:05.823","10","9","13","18.500","18.500",""
"3","444","EMILIANO GIRALDO GOMEZ","INFANTIL MINI","CAUCA","","","1:17.162","8","7","11","2 Vueltas","2 Vueltas",""
"NE","795","SARA AHILEN MUÑOZ PORTILLA","INFANTIL MINI","Putumayo","CLUB EXTREME RACING","Husqvarna","","","0","0","NE","",""
