"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","834","Valery Fernanda ARIAS ARCOS","Femenina","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","1:10.471","7","3","3","","",""
"2","224","Kimberly Juliana GUERRERO GARCIA","Femenina","Nariño","MOTOCLUB IPIALES","KTM","1:13.643","7","4","2","1:11.164","1:11.164",""
"3","516","Laura Sofia BALCAZAR","Femenina","Meta","VILLAVICENCIO RACING CLUB","Yamaha","1:16.689","3","2","1","4 Vueltas","4 Vueltas",""
