"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","801","Samuel MAYA SANCHEZ","INFANTIL","Valle del Cauca","Carasucias","Yamaha","1:20.727","6","3","3","","",""
"2","272","Maximiliano TEJADA GONZALEZ","INFANTIL","Cauca","CLUB CORONA","GasGas","1:32.847","4","4","2","2 Vueltas","2 Vueltas",""
"3","319","Samuel BELTRÁN PRIETO","INFANTIL","Tolima","GR 522 RACING","KTM","1:53.691","4","3","1","2 Vueltas","1:21.340",""
"NT","215","Sebastian LOPEZ CORTES","INFANTIL","Nariño","CLUB DEPORTIVO BUFALO XTREM","KTM","1:14.718","3","2","0","NT","1 Vuelta",""
"5","127","Jeronimo SANTANDER MONTENEGRO","INFANTIL","Putumayo","CLUB EXTREME RACING","KTM","4:58.483","2","2","1","4 Vueltas","1 Vuelta",""
"6","528","DANIEL ALEXIS CUARAN ANGULO","INFANTIL","PUTUMAYO","","","","1","0","1","5 Vueltas","1 Vuelta",""
"NT","53-E","Neymar Stiven Penagos","INFANTIL","Putumayo","TEAM RACING MOCOA","KTM","","1","0","0","NT","",""
