"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","255","JUAN JOSE LEYTON","INFANTIL MINI","RISARALDA","","","1:11.465","7","3","3","","",""
"2","319","Samuel BELTRÁN PRIETO","INFANTIL MINI","Tolima","GR 522 RACING","KTM","1:14.288","7","2","2","57.847","57.847",""
"3","444","EMILIANO GIRALDO GOMEZ","INFANTIL MINI","CAUCA","","","","1","0","1","6 Vueltas","6 Vueltas",""
"NT","795","SARA AHILEN MUÑOZ PORTILLA","INFANTIL MINI","Putumayo","CLUB EXTREME RACING","Husqvarna","","","0","0","NT","",""
