"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","R1. ","R2. ","R3. "
"1","834","Valery Fernanda ARIAS ARCOS","Femenina","33","0","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","3","15","15"
"2","516","Laura Sofia BALCAZAR","Femenina","25","8","Yamaha","Meta","VILLAVICENCIO RACING CLUB","1","11","13"
"3","224","Kimberly Juliana GUERRERO GARCIA","Femenina","15","18","KTM","Nariño","MOTOCLUB IPIALES","2","13","0"
