"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","227","CARLOS ALBERTO LUCERO","200 Novatos","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","1:14.785","6","2","3","","",""
"2","111","Víctor Sebastian Termal Hernández","200 Novatos","Nariño","CLUB MOTEROS RIDERS LA UNION","Yamaha","1:19.668","6","6","2","40.670","40.670",""
"3","81","Santiago Garcés Jiménez","200 Novatos","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","1:20.992","5","4","1","1 Vuelta","1 Vuelta",""
"4","26","Rene Alberto ACOSTA CRIOLLO","200 Novatos","Quindío","CLUB RUTEROS DEL QUINDIO","Honda","1:12.368","5","2","1","1 Vuelta","44.298",""
"NT","300-E","JUAN CAMILO FAJARDO ARTEGA","200 Novatos","Putumayo","CLUB EXTREME RACING","Honda","","","0","0","NT","",""
"EX","175-E","JHONIER ALEJANDRO CRUZ JUAJIBIOY","200 Novatos","Putumayo","CLUB EXTREME RACING","Yamaha","1:11.170","6","3","0","EX","","No cumple con reglamento técnico"
"EX","264","Gelber eduardo acosta lopez","200 Novatos","Putumayo","CLUB EXTREME RACING","Yamaha","1:16.949","6","3","0","EX","","No cumple con reglamento técnico"
