"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","837","JHOAN ANDRES BARRAGAN ALVAREZ","125 cc","Putumayo","TEAM RACING MOCOA","KTM","54.009","8","2","3","","",""
"2","710","Juan David MENDOZA DUARTE","125 cc","Meta","VILLAVICENCIO RACING CLUB","Yamaha","1:01.200","7","2","2","1 Vuelta","1 Vuelta",""
"3","610-E","Jhon Sebastián agredo","125 cc","Putumayo","CLUB EXTREME RACING","Yamaha","1:05.190","7","2","1","1 Vuelta","47.532",""
"4","386","Frank Stiven ZAMBRANO ABELLO","125 cc","Putumayo","TEAM RACING MOCOA","Husqvarna","1:06.177","5","2","1","3 Vueltas","2 Vueltas",""
"5","146","Gabriel Alejandro MESA ARROYO","125 cc","Nariño","CLUB DEPORTIVO BUFALO XTREM","Yamaha","1:19.576","4","4","1","4 Vueltas","1 Vuelta",""
