"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","837","JHOAN ANDRES BARRAGAN ALVAREZ","125 cc","Putumayo","TEAM RACING MOCOA","KTM","48.067","15","5","15","","",""
"2","610-E","Jhon Sebastián agredo","125 cc","Putumayo","CLUB EXTREME RACING","Yamaha","47.801","15","5","13","11.240","11.240",""
"3","710","Juan David MENDOZA DUARTE","125 cc","Meta","VILLAVICENCIO RACING CLUB","Yamaha","54.476","14","13","11","1 Vuelta","1 Vuelta",""
"4","146","Gabriel Alejandro MESA ARROYO","125 cc","Nariño","CLUB DEPORTIVO BUFALO XTREM","Yamaha","55.237","13","9","10","2 Vueltas","1 Vuelta",""
"NE","386","Frank Stiven ZAMBRANO ABELLO","125 cc","Putumayo","TEAM RACING MOCOA","Husqvarna","","","0","0","NE","",""
