"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","837","JHOAN ANDRES BARRAGAN ALVAREZ","125 cc","Putumayo","TEAM RACING MOCOA","KTM","44.334","17","4","15","","",""
"2","610-E","Jhon Sebastián agredo","125 cc","Putumayo","CLUB EXTREME RACING","Yamaha","44.978","17","3","13","25.743","25.743",""
"3","710","Juan David MENDOZA DUARTE","125 cc","Meta","VILLAVICENCIO RACING CLUB","Yamaha","46.777","17","16","11","30.478","4.735",""
"4","146","Gabriel Alejandro MESA ARROYO","125 cc","Nariño","CLUB DEPORTIVO BUFALO XTREM","Yamaha","52.215","15","14","10","2 Vueltas","2 Vueltas",""
"NE","386","Frank Stiven ZAMBRANO ABELLO","125 cc","Putumayo","TEAM RACING MOCOA","Husqvarna","","","0","0","NE","",""
