"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","81","Santiago Garcés Jiménez","200 Novatos","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","54.610","14","12","15","","",""
"2","227","CARLOS ALBERTO LUCERO","200 Novatos","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","56.861","14","10","13","31.227","31.227",""
"3","26","Rene Alberto ACOSTA CRIOLLO","200 Novatos","Quindío","CLUB RUTEROS DEL QUINDIO","Honda","57.961","14","7","11","45.492","14.265",""
"NE","111","Víctor Sebastian Termal Hernández","200 Novatos","Nariño","CLUB MOTEROS RIDERS LA UNION","Yamaha","","","0","0","NE","",""
"NE","300-E","JUAN CAMILO FAJARDO ARTEGA","200 Novatos","Putumayo","CLUB EXTREME RACING","Honda","","","0","0","NE","",""
"EX","264","Gelber eduardo acosta lopez","200 Novatos","Putumayo","CLUB EXTREME RACING","Yamaha","55.070","14","12","0","EX","","No cumple con reglamento técnico"
"EX","175-E","JHONIER ALEJANDRO CRUZ JUAJIBIOY","200 Novatos","Putumayo","CLUB EXTREME RACING","Yamaha","","","0","0","EX","","No cumple con reglamento técnico"
