"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","837","JHOAN ANDRES BARRAGAN ALVAREZ","Libre pro","Putumayo","TEAM RACING MOCOA","GasGas","43.783","21","3","15","","",""
"2","243","David Fernando BURBANO GOMEZ","Libre pro","Putumayo","TEAM RACING MOCOA","GasGas","45.962","20","2","13","1 Vuelta","1 Vuelta",""
"3","563","Jhon Jader Valero Palencia","Libre pro","Cauca","CLUB CORONA CLUB XTREME PARK","Honda","48.061","20","10","11","1 Vuelta","3.886",""
"4","696-E","willian daniel rodriguez rosero","Libre pro","Putumayo","CLUB EXTREME RACING","KTM","47.011","20","2","10","1 Vuelta","2.621",""
"5","710","Juan David MENDOZA DUARTE","Libre pro","Meta","VILLAVICENCIO RACING CLUB","Yamaha","49.561","19","10","9","2 Vueltas","1 Vuelta",""
"6","511","Victor Manuel MORA","Libre pro","Nariño","MOTOCLUB IPIALES","Yamaha","54.346","17","3","8","4 Vueltas","2 Vueltas",""
"7","610-E","Jhon Sebastián agredo","Libre pro","Putumayo","CLUB EXTREME RACING","KTM","46.886","14","3","7","7 Vueltas","3 Vueltas",""
"NT","479","Cristian Felipe CHAVARRO RODRIGUEZ","Libre pro","Nariño","MOTOCLUB IPIALES","Suzuki","49.615","18","9","0","NT","",""
"NT","386","Frank Stiven ZAMBRANO ABELLO","Libre pro","Putumayo","TEAM RACING MOCOA","Husqvarna","49.686","14","4","0","NT","",""
"NT","76-E","Oscar Andres Correa Gomez","Libre pro","Valle del Cauca","Dos Ruedas Racing Team","Yamaha","","","0","0","NT","",""
"NT","110","Jesus Ivan PASTAS PERENGUEZ","Libre pro","Nariño","MOTOCLUB IPIALES","Yamaha","","","0","0","NT","",""
