"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","834","Valery Fernanda ARIAS ARCOS","Femenina","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","1:03.318","10","4","15","","",""
"2","224","Kimberly Juliana GUERRERO GARCIA","Femenina","Nariño","MOTOCLUB IPIALES","KTM","1:02.088","10","7","13","29.015","29.015",""
"3","516","Laura Sofia BALCAZAR","Femenina","Meta","VILLAVICENCIO RACING CLUB","Yamaha","1:23.652","8","7","11","2 Vueltas","2 Vueltas",""
