"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","R1. ","R2. ","R3. "
"1","837","JHOAN ANDRES BARRAGAN ALVAREZ","125 cc","33","0","KTM","Putumayo","TEAM RACING MOCOA","3","15","15"
"2","610-E","Jhon Sebastián agredo","125 cc","27","6","Yamaha","Putumayo","CLUB EXTREME RACING","1","13","13"
"3","710","Juan David MENDOZA DUARTE","125 cc","24","9","Yamaha","Meta","VILLAVICENCIO RACING CLUB","2","11","11"
"4","146","Gabriel Alejandro MESA ARROYO","125 cc","21","12","Yamaha","Nariño","CLUB DEPORTIVO BUFALO XTREM","1","10","10"
"5","386","Frank Stiven ZAMBRANO ABELLO","125 cc","1","32","Husqvarna","Putumayo","TEAM RACING MOCOA","1","0","0"
