"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","837","JHOAN ANDRES BARRAGAN ALVAREZ","200 Expertos","Putumayo","TEAM RACING MOCOA","Honda","1:00.202","8","2","3","","",""
"2","386","Frank Stiven ZAMBRANO ABELLO","200 Expertos","Putumayo","TEAM RACING MOCOA","Yamaha","1:01.963","7","3","2","1 Vuelta","1 Vuelta",""
"3","563","Jhon Jader Valero Palencia","200 Expertos","Cauca","CLUB CORONA CLUB XTREME PARK","Honda","1:11.908","4","2","1","4 Vueltas","3 Vueltas",""
"4","76-E","Oscar Andres Correa Gomez","200 Expertos","Valle del Cauca","Dos Ruedas Racing Team","Yamaha","1:05.406","3","2","1","5 Vueltas","1 Vuelta",""
"NT","479","Cristian Felipe CHAVARRO RODRIGUEZ","200 Expertos","Nariño","MOTOCLUB IPIALES","Yamaha","","1","0","0","NT","",""
"EX","243","David Fernando BURBANO GOMEZ","200 Expertos","Putumayo","TEAM RACING MOCOA","Honda","1:03.774","8","2","0","EX","","No cumple con reglamento técnico"
