"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","R1. ","R2. ","R3. "
"1","837","JHOAN ANDRES BARRAGAN ALVAREZ","200 Expertos","33","0","Honda","Putumayo","TEAM RACING MOCOA","3","15","15"
"2","563","Jhon Jader Valero Palencia","200 Expertos","27","6","Honda","Cauca","CLUB CORONA CLUB XTREME PARK","1","13","13"
"3","76-E","Oscar Andres Correa Gomez","200 Expertos","23","10","Yamaha","Valle del Cauca","Dos Ruedas Racing Team","1","11","11"
"4","386","Frank Stiven ZAMBRANO ABELLO","200 Expertos","2","31","Yamaha","Putumayo","TEAM RACING MOCOA","2","0","0"
"NT","479","Cristian Felipe CHAVARRO RODRIGUEZ","200 Expertos","0","33","Yamaha","Nariño","MOTOCLUB IPIALES","0","0","0"
"EX","243","David Fernando BURBANO GOMEZ","200 Expertos","0","33","Honda","Putumayo","TEAM RACING MOCOA","0","0","0"
