"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","319","Samuel BELTRÁN PRIETO","INFANTIL MINI","Tolima","GR 522 RACING","KTM","2:05.504","4","3","15","","",""
"2","255","JUAN JOSE LEYTON","INFANTIL MINI","RISARALDA","","","1:44.023","4","2","13","6:44.063","6:44.063",""
"3","444","EMILIANO GIRALDO GOMEZ","INFANTIL MINI","CAUCA","","","10:30.430","2","2","11","2 Vueltas","2 Vueltas",""
"NT","795","SARA AHILEN MUÑOZ PORTILLA","INFANTIL MINI","Putumayo","CLUB EXTREME RACING","Husqvarna","","","0","0","NT","",""
