"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","335","JOSE LUIS IBARRA VALLEJO","Master","Putumayo","CLUB EXTREME RACING","Kymco","1:14.138","5","2","3","","",""
"2","523","Richard Alexander ALARCON ALVAREZ","Master","Putumayo","CLUB EXTREME RACING","Yamaha","1:17.138","5","5","2","1.333","1.333",""
"3","331","Mauricio BARRIOS REYES","Master","Putumayo","CLUB EXTREME RACING","Honda","1:17.225","5","4","1","27.281","25.948",""
"4","227","CARLOS ALBERTO LUCERO","Master","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","1:34.478","4","3","1","1 Vuelta","1 Vuelta",""
"5","317","Andrés Parmenio MORENO ZARATE","Master","Putumayo","CLUB EXTREME RACING","Husqvarna","1:41.420","4","2","1","1 Vuelta","25.407",""
"6","311","Henry MORENO BENAVIDES","Master","Nariño","CLUB MOTEROS RIDERS LA UNION","Yamaha","3:12.188","3","2","1","2 Vueltas","1 Vuelta",""
"7","202","Ivan Dario BENAVIDES FAJARDO","Master","Nariño","CLUB DEPORTIVO BUFALO XTREM","Yamaha","8:12.524","2","2","1","3 Vueltas","1 Vuelta",""
"NT","123","MILLER SAUL MARIN QUINTERO","Master","Putumayo","CLUB EXTREME RACING","Husqvarna","","","0","0","NT","",""
