"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","801","Samuel MAYA SANCHEZ","INFANTIL","Valle del Cauca","Carasucias","Yamaha","58.199","13","4","15","","",""
"2","272","Maximiliano TEJADA GONZALEZ","INFANTIL","Cauca","CLUB CORONA","GasGas","1:02.442","12","12","13","1 Vuelta","1 Vuelta",""
"3","53-E","Neymar Stiven Penagos","INFANTIL","Putumayo","TEAM RACING MOCOA","KTM","1:04.556","11","7","11","2 Vueltas","1 Vuelta",""
"4","127","Jeronimo SANTANDER MONTENEGRO","INFANTIL","Putumayo","CLUB EXTREME RACING","KTM","1:09.205","11","8","10","2 Vueltas","41.667",""
"5","215","Sebastian LOPEZ CORTES","INFANTIL","Nariño","CLUB DEPORTIVO BUFALO XTREM","KTM","56.307","10","8","9","3 Vueltas","1 Vuelta",""
"6","528","DANIEL ALEXIS CUARAN ANGULO","INFANTIL","","","","1:06.053","9","5","8","4 Vueltas","1 Vuelta",""
"NE","255","Juan Jose LEYTON ERASO","INFANTIL","Risaralda","CLUB LOS GUEPARDOS","Cobra","","","0","0","NE","",""
"NE","319","Samuel BELTRÁN PRIETO","INFANTIL","Tolima","GR 522 RACING","KTM","","","0","0","NE","",""
